change_type,worksheet,cell,historical_formula,active_formula
CHANGED,CR Econ,S40,"=IF(Q40=0,"""",100%-R40)","=IF(Q40=0,0,100%-R40)"
CHANGED,CR Econ,S41,"=IF(Q41=0,"""",100%-R41)","=IF(Q41=0,0,100%-R41)"
CHANGED,CR Econ,S42,"=IF(Q42=0,"""",100%-R42)","=IF(Q42=0,0,100%-R42)"
CHANGED,CR Econ,S43,"=IF(Q43=0,"""",100%-R43)","=IF(Q43=0,0,100%-R43)"
CHANGED,CR Econ,S44,"=IF(Q44=0,"""",100%-R44)","=IF(Q44=0,0,100%-R44)"
CHANGED,CR Econ,S45,"=IF(Q45=0,"""",100%-R45)","=IF(Q45=0,0,100%-R45)"
CHANGED,CR Econ,S46,"=IF(Q46=0,"""",100%-R46)","=IF(Q46=0,0,100%-R46)"
CHANGED,CR Econ,S47,"=IF(Q47=0,"""",100%-R47)","=IF(Q47=0,0,100%-R47)"
CHANGED,CR Econ,S48,"=IF(Q48=0,"""",100%-R48)","=IF(Q48=0,0,100%-R48)"
CHANGED,CR Econ,S49,"=IF(Q49=0,"""",100%-R49)","=IF(Q49=0,0,100%-R49)"
CHANGED,CR Econ,S5,"=IF(Q5=0,"""",100%-R5)","=IF(Q5=0,0,100%-R5)"
CHANGED,CR Econ,S6,"=IF(Q6=0,"""",100%-R6)","=IF(Q6=0,0,100%-R6)"
CHANGED,CR Econ,S7,"=IF(Q7=0,"""",100%-R7)","=IF(Q7=0,0,100%-R7)"
CHANGED,CR Econ,S8,"=IF(Q8=0,"""",100%-R8)","=IF(Q8=0,0,100%-R8)"
CHANGED,CR Econ,S9,"=IF(Q9=0,"""",100%-R9)","=IF(Q9=0,0,100%-R9)"
CHANGED,Cap_Allow,FF54,=FF52/Prod_Summary!$AA$48,=FF52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FG54,=FG52/Prod_Summary!$AA$48,=FG52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FH54,=FH52/Prod_Summary!$AA$48,=FH52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FI54,=FI52/Prod_Summary!$AA$48,=FI52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FJ54,=FJ52/Prod_Summary!$AA$48,=FJ52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FK54,=FK52/Prod_Summary!$AA$48,=FK52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FL54,=FL52/Prod_Summary!$AA$48,=FL52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FM54,=FM52/Prod_Summary!$AA$48,=FM52/Prod_Summary!$Y$50
