name,attr_text,hidden
RiskHasSettings,7,True
RiskIsOptimization,FALSE,True
RiskIsStatistics,FALSE,True
RiskMinimizeOnStart,FALSE,True
RiskMonitorConvergence,FALSE,True
RiskMultipleCPUSupportEnabled,TRUE,True
RiskNumIterations,100,True
RiskNumSimulations,1,True
RiskPauseOnError,FALSE,True
RiskRunAfterRecalcMacro,FALSE,True
RiskRunAfterSimMacro,FALSE,True
RiskRunBeforeRecalcMacro,FALSE,True
RiskRunBeforeSimMacro,FALSE,True
RiskSamplingType,3,True
RiskStandardRecalc,1,True
RiskUpdateDisplay,FALSE,True
RiskUseDifferentSeedForEachSim,FALSE,True
RiskUseFixedSeed,FALSE,True
RiskUseMultipleCPUs,TRUE,True
rplce,#REF!,True
Schl,"{TRUE,TRUE,-1.25,-15.5,484.5,255.75,FALSE,TRUE,TRUE,TRUE,0,1,#N/A,50,#N/A,7.45588235294118,16.6470588235294,1,FALSE,FALSE,3,TRUE,1,FALSE,100,""Swvu.week3."",""ACwvu.week3."",#N/A,FALSE,FALSE,0.42,0.38,0.73,0.56,2,""&A"",""Page &P"",FALSE,FALSE,FALSE,FALSE,1,63,#N/A,#N/A,FALSE,""=R1:R7"",#N/A,""Cwvu.week3."",FALSE,FALSE,TRUE,9,600,600,FALSE,FALSE,TRUE,TRUE,TRUE}",True
Start,START!$A$1,False
Swvu.normal.,#REF!,True
Swvu.short.,#REF!,True
Swvu.week3.,#REF!,True
Swvu.week3short.,#REF!,True
UploadList,"OFFSET(Data,0,6,,1)",False
Wells_CAP,"OFFSET(Block_TC!$FZ$5,0,0,Prod_Summary!$AF$26,1)",False
wrn.index.,"{#N/A,#N/A,FALSE,""Sheet1""}",True
wvu.normal.,"{TRUE,TRUE,-1.25,-15.5,484.5,255.75,FALSE,TRUE,TRUE,TRUE,0,1,#N/A,154,#N/A,7.45588235294118,17.1111111111111,1,FALSE,FALSE,3,TRUE,1,FALSE,100,""Swvu.normal."",""ACwvu.normal."",#N/A,FALSE,FALSE,0.5,0.38,0.57,0.54,2,""&A"",""Page &P"",FALSE,FALSE,FALSE,FALSE,1,63,#N/A,#N/A,FALSE,""=R1:R7"",#N/A,#N/A,FALSE,FALSE,TRUE,9,600,600,FALSE,FALSE,TRUE,TRUE,TRUE}",True
wvu.short.,"{TRUE,FALSE,-1.25,-15.5,484.5,255.75,FALSE,TRUE,TRUE,TRUE,0,1,#N/A,9,#N/A,7.45588235294118,32.6470588235294,1,FALSE,FALSE,3,TRUE,1,FALSE,100,""Swvu.short."",""ACwvu.short."",#N/A,FALSE,FALSE,0.5,0.38,0.57,0.54,2,""&A"",""Page &P"",FALSE,FALSE,FALSE,FALSE,1,63,#N/A,#N/A,FALSE,""=R1:R7"",FALSE,FALSE,FALSE,FALSE,TRUE,9,600,600,FALSE,FALSE,TRUE,TRUE,TRUE}",True
wvu.week3.,"{TRUE,TRUE,-1.25,-15.5,484.5,255.75,FALSE,TRUE,TRUE,TRUE,0,1,#N/A,50,#N/A,7.45588235294118,16.6470588235294,1,FALSE,FALSE,3,TRUE,1,FALSE,100,""Swvu.week3."",""ACwvu.week3."",#N/A,FALSE,FALSE,0.42,0.38,0.73,0.56,2,""&A"",""Page &P"",FALSE,FALSE,FALSE,FALSE,1,63,#N/A,#N/A,FALSE,""=R1:R7"",#N/A,""Cwvu.week3."",FALSE,FALSE,TRUE,9,600,600,FALSE,FALSE,TRUE,TRUE,TRUE}",True
wvu.week3short.,"{TRUE,FALSE,-1.25,-15.5,484.5,255.75,FALSE,TRUE,TRUE,TRUE,0,1,#N/A,46,#N/A,7.45588235294118,61.6470588235294,1,FALSE,FALSE,3,TRUE,1,FALSE,100,""Swvu.week3short."",""ACwvu.week3short."",#N/A,FALSE,FALSE,0.42,0.38,0.73,0.56,2,""&A"",""Page &P"",FALSE,FALSE,FALSE,FALSE,1,63,#N/A,#N/A,FALSE,""=R1:R7"",FALSE,FALSE,FALSE,FALSE,TRUE,9,600,600,FALSE,FALSE,TRUE,TRUE,TRUE}",True
xxxxxxx,"{TRUE,FALSE,-1.25,-15.5,484.5,255.75,FALSE,TRUE,TRUE,TRUE,0,1,#N/A,46,#N/A,7.45588235294118,61.6470588235294,1,FALSE,FALSE,3,TRUE,1,FALSE,100,""Swvu.week3short."",""ACwvu.week3short."",#N/A,FALSE,FALSE,0.42,0.38,0.73,0.56,2,""&A"",""Page &P"",FALSE,FALSE,FALSE,FALSE,1,63,#N/A,#N/A,FALSE,""=R1:R7"",FALSE,FALSE,FALSE,FALSE,TRUE,9,600,600,FALSE,FALSE,TRUE,TRUE,TRUE}",True
Years_Charts,"OFFSET('Production Profile'!$B$23, 0, 0, 'Production Profile'!$P$27,1)",False
Years_Prod,"OFFSET(Prod_Summary!$S$5,0,0,Prod_Summary!$AF$26,1)",False
